date,value
1961-01,21.071
1961-02,21.094
1961-03,21.112
1961-04,20.77
1961-05,20.655
1961-06,20.801
1961-07,20.847
1961-08,21.054
1961-09,20.948
1961-10,21.007
1961-11,21.057
1961-12,21.024
1962-01,21.157
1962-02,21.277
1962-03,20.972
1962-04,20.868
1962-05,20.884
1962-06,20.98
1962-07,21.029
1962-08,20.966
1962-09,21.056
1962-10,21.009
1962-11,21.145
1962-12,21.205
1963-01,21.613
1963-02,21.771
1963-03,21.361
1963-04,21.148
1963-05,21.255
1963-06,21.321
1963-07,21.263
1963-08,21.315
1963-09,21.409
1963-10,21.917
1963-11,21.757
1963-12,21.798
1964-01,21.93
1964-02,22.012
1964-03,21.933
1964-04,21.639
1964-05,21.648
1964-06,21.583
1964-07,21.685
1964-08,22.044
1964-09,21.985
1964-10,21.844
1964-11,21.831
1964-12,22.046
1965-01,22.099
1965-02,22.03
1965-03,21.887
1965-04,21.567
1965-05,21.737
1965-06,21.815
1965-07,21.681
1965-08,21.814
1965-09,21.884
1965-10,21.943
1965-11,22.098
1965-12,22.263
1966-01,22.534
1966-02,22.326
1966-03,22.148
1966-04,22.232
1966-05,22.187
1966-06,22.245
1966-07,22.331
1966-08,22.486
1966-09,22.352
1966-10,22.224
1966-11,22.471
1966-12,22.609
1967-01,22.92
1967-02,22.931
1967-03,22.807
1967-04,22.448
1967-05,22.653
1967-06,22.913
1967-07,23.226
1967-08,23.13
1967-09,23.317
1967-10,23.226
1967-11,23.449
1967-12,23.659
1968-01,23.681
1968-02,23.412
1968-03,23.327
1968-04,23.281
1968-05,23.024
1968-06,23.022
1968-07,23.138
1968-08,23.324
1968-09,23.188
1968-10,23.152
1968-11,23.101
1968-12,23.031
1969-01,23.062
1969-02,23.029
1969-03,23.159
1969-04,23.083
1969-05,23.309
1969-06,23.191
1969-07,23.112
1969-08,23.195
1969-09,23.232
1969-10,23.061
1969-11,23.297
1969-12,23.619
1970-01,23.287
1970-02,23.386
1970-03,23.102
1970-04,23.14
1970-05,23.155
1970-06,23.12
1970-07,23.349
1970-08,23.33
1970-09,23.291
1970-10,23.316
1970-11,23.263
1970-12,23.42
1971-01,24.111
1971-02,23.686
1971-03,23.575
1971-04,23.293
1971-05,23.541
1971-06,23.608
1971-07,23.729
1971-08,23.615
1971-09,23.796
1971-10,23.654
1971-11,23.787
1971-12,24.003
1972-01,24.035
1972-02,24.026
1972-03,23.981
1972-04,23.704
1972-05,23.798
1972-06,23.881
1972-07,24.025
1972-08,24.237
1972-09,24.409
1972-10,24.372
1972-11,24.61
1972-12,25.412
1973-01,25.338
1973-02,26.214
1973-03,26.316
1973-04,26.486
1973-05,27.663
1973-06,28.59
1973-07,29.95
1973-08,30.29
1973-09,30.296
1973-10,31.328
1973-11,32.677
1973-12,32.33
1974-01,33.738
1974-02,34.728
1974-03,35.333
1974-04,34.94
1974-05,34.964
1974-06,35.098
1974-07,35.372
1974-08,35.612
1974-09,35.992
1974-10,36.326
1974-11,36.407
1974-12,36.683
1975-01,36.846
1975-02,36.919
1975-03,36.215
1975-04,35.968
1975-05,36.11
1975-06,36.213
1975-07,36.31
1975-08,36.461
1975-09,36.472
1975-10,36.114
1975-11,36.187
1975-12,36.339
1976-01,36.327
1976-02,36.32
1976-03,35.856
1976-04,35.508
1976-05,35.651
1976-06,35.468
1976-07,35.442
1976-08,35.395
1976-09,35.331
1976-10,35.295
1976-11,35.504
1976-12,35.785
1977-01,36.258
1977-02,36.501
1977-03,36.255
1977-04,35.952
1977-05,36.239
1977-06,36.37
1977-07,36.739
1977-08,37.29
1977-09,37.532
1977-10,37.002
1977-11,37.311
1977-12,38.071
1978-01,37.844
1978-02,38.102
1978-03,37.594
1978-04,37.818
1978-05,37.948
1978-06,38.036
1978-07,38.493
1978-08,38.673
1978-09,38.738
1978-10,38.598
1978-11,38.826
1978-12,38.796
1979-01,38.822
1979-02,38.701
1979-03,38.578
1979-04,38.753
1979-05,39.034
1979-06,39.137
1979-07,39.624
1979-08,40.327
1979-09,40.963
1979-10,40.972
1979-11,41.324
1979-12,41.633
1980-01,41.68
1980-02,42.335
1980-03,42.787
1980-04,42.971
1980-05,42.948
1980-06,43.062
1980-07,43.437
1980-08,43.767
1980-09,43.659
1980-10,43.806
1980-11,44.093
1980-12,44.132
1981-01,44.264
1981-02,44.793
1981-03,44.894
1981-04,45.802
1981-05,46.39
1981-06,46.702
1981-07,47.404
1981-08,48.03
1981-09,47.944
1981-10,47.96
1981-11,48.28
1981-12,48.698
1982-01,49.177
1982-02,48.8
1982-03,48.28
1982-04,48.298
1982-05,48.327
1982-06,48.455
1982-07,48.326
1982-08,48.527
1982-09,48.606
1982-10,48.475
1982-11,48.774
1982-12,49.1
1983-01,48.945
1983-02,49.044
1983-03,48.991
1983-04,48.926
1983-05,49.098
1983-06,48.784
1983-07,48.966
1983-08,49.001
1983-09,49.18
1983-10,49.075
1983-11,49.526
1983-12,49.661
1984-01,50.163
1984-02,50.825
1984-03,50.323
1984-04,50.327
1984-05,50.288
1984-06,50.427
1984-07,50.569
1984-08,50.689
