date,value
1976-Q1,10.5
1976-Q2,9.5
1976-Q3,9.3
1976-Q4,8.1
1977-Q1,9.3
1977-Q2,9.5
1977-Q3,8.5
1977-Q4,8.8
1978-Q1,10.6
1978-Q2,10.4
1978-Q3,12.5
1978-Q4,14.7
1979-Q1,11.3
1979-Q2,15.6
1979-Q3,16.3
1979-Q4,17.5
1980-Q1,26.2
1980-Q2,23.4
1980-Q3,21.2
1980-Q4,19.5
1981-Q1,15.9
1981-Q2,16.8
1981-Q3,18.5
1981-Q4,17.8
1982-Q1,15.6
1982-Q2,12.3
1982-Q3,9.8
1982-Q4,10.5
1983-Q1,9.3
1983-Q2,13.8
1983-Q3,13.7
1983-Q4,11.1
1984-Q1,12.6
1984-Q2,9.6
1984-Q3,8.9
1984-Q4,7.8
1985-Q1,5.1
1985-Q2,-0.4
1985-Q3,-4.2
1985-Q4,-8.1
1986-Q1,-6.4
1986-Q2,-2.2
1986-Q3,0.7
1986-Q4,8.5
1987-Q1,6.7
1987-Q2,10.3
1987-Q3,14.0
1987-Q4,14.2
1988-Q1,16.1
1988-Q2,17.0
1988-Q3,17.7
1988-Q4,18.1
1989-Q1,15.2
1989-Q2,15.6
1989-Q3,14.4
1989-Q4,13.9
1990-Q1,19.5
1990-Q2,15.0
1990-Q3,13.6
1990-Q4,12.5
1991-Q1,11.1
1991-Q2,11.5
1991-Q3,12.4
1991-Q4,10.7
1992-Q1,7.8
1992-Q2,6.9
1992-Q3,7.6
1992-Q4,10.1
1993-Q1,13.0
1993-Q2,16.0
1993-Q3,15.3
1993-Q4,16.8
1994-Q1,16.6
1994-Q2,14.0
1994-Q3,16.3
1994-Q4,13.1
1995-Q1,10.0
1995-Q2,11.7
1995-Q3,10.4
1995-Q4,10.2
1996-Q1,13.3
1996-Q2,10.2
1996-Q3,5.7
1996-Q4,7.7
1997-Q1,6.2
1997-Q2,11.0
1997-Q3,12.8
1997-Q4,8.0
1998-Q1,3.5
1998-Q2,-2.7
1998-Q3,-6.2
1998-Q4,-7.8
1999-Q1,-5.8
1999-Q2,1.0
1999-Q3,4.4
1999-Q4,8.2
2000-Q1,12.8
2000-Q2,10.6
2000-Q3,14.6
2000-Q4,14.7
2001-Q1,8.3
2001-Q2,0.3
2001-Q3,-8.2
2001-Q4,-10.3
2002-Q1,-2.2
2002-Q2,2.8
2002-Q3,5.1
2002-Q4,6.4
2003-Q1,3.9
2003-Q2,-2.9
2003-Q3,2.8
2003-Q4,6.8
2004-Q1,10.7
2004-Q2,16.5
2004-Q3,15.6
2004-Q4,14.5
2005-Q1,8.3
2005-Q2,9.5
2005-Q3,9.1
2005-Q4,10.5
2006-Q1,10.5
2006-Q2,11.9
2006-Q3,11.2
2006-Q4,10.6
2007-Q1,13.9
2007-Q2,16.9
2007-Q3,17.3
2007-Q4,13.9
2008-Q1,8.1
2008-Q2,2.2
2008-Q3,0.1
2008-Q4,-7.6
2009-Q1,-5.7
2009-Q2,-0.2
2009-Q3,3.7
2009-Q4,14.9
2010-Q1,20.2
2010-Q2,18.8
2010-Q3,12.6
2010-Q4,12.4
2011-Q1,11.1
2011-Q2,6.3
2011-Q3,7.7
2011-Q4,5.0
2012-Q1,5.4
2012-Q2,7.3
2012-Q3,2.3
2012-Q4,4.9
2013-Q1,3.0
2013-Q2,3.2
2013-Q3,6.4
2013-Q4,4.8
2014-Q1,3.5
2014-Q2,2.9
2014-Q3,3.7
2014-Q4,4.5
2015-Q1,6.3
2015-Q2,6.2
2015-Q3,6.7
2015-Q4,5.4
2016-Q1,3.2
2016-Q2,3.3
2016-Q3,3.7
2016-Q4,6.9
2017-Q1,8.6
2017-Q2,6.3
2017-Q3,6.7
2017-Q4,8.2
2018-Q1,5.0
2018-Q2,8.4
2018-Q3,9.7
2018-Q4,5.7
2019-Q1,4.0
2019-Q2,1.6
2019-Q3,0.0
2019-Q4,-1.7
2020-Q1,-0.1
2020-Q2,-14.7
2020-Q3,-7.2
2020-Q4,-2.6
2021-Q1,7.9
2021-Q2,32.9
2021-Q3,23.9
2021-Q4,24.0
2022-Q1,22.1
2022-Q2,27.6
2022-Q3,19.5
2022-Q4,10.5
2023-Q1,-0.1
2023-Q2,-7.6
2023-Q3,-5.3
2023-Q4,0.1
2024-Q1,6.7
2024-Q2,8.8
2024-Q3,8.6
2024-Q4,7.0
2025-Q1,5.1
2025-Q2,1.6
