date,value
1992-Q1,1.8
1992-Q2,1.8
1992-Q3,2.0
1992-Q4,1.6
1993-Q1,1.5
1993-Q2,1.8
1993-Q3,1.8
1993-Q4,1.6
1994-Q1,1.7
1994-Q2,1.6
1994-Q3,1.8
1994-Q4,1.8
1995-Q1,1.7
1995-Q2,1.9
1995-Q3,1.6
1995-Q4,1.7
1996-Q1,1.8
1996-Q2,1.8
1996-Q3,1.5
1996-Q4,1.5
1997-Q1,1.4
1997-Q2,1.4
1997-Q3,1.4
1997-Q4,1.5
1998-Q1,1.7
1998-Q2,1.9
1998-Q3,3.3
1998-Q4,3.4
1999-Q1,3.1
1999-Q2,2.7
1999-Q3,3.0
1999-Q4,2.4
2000-Q1,2.8
2000-Q2,3.4
2000-Q3,2.0
2000-Q4,2.2
2001-Q1,1.9
2001-Q2,2.2
2001-Q3,2.9
2001-Q4,3.7
2002-Q1,3.6
2002-Q2,3.4
2002-Q3,3.6
2002-Q4,3.7
2003-Q1,3.7
2003-Q2,3.6
2003-Q3,4.8
2003-Q4,3.9
2004-Q1,3.7
2004-Q2,3.6
2004-Q3,3.0
2004-Q4,3.2
2005-Q1,3.2
2005-Q2,3.3
2005-Q3,3.3
2005-Q4,2.7
2006-Q1,2.4
2006-Q2,2.7
2006-Q3,2.8
2006-Q4,2.8
2007-Q1,2.7
2007-Q2,2.3
2007-Q3,1.7
2007-Q4,1.7
2008-Q1,1.9
2008-Q2,2.2
2008-Q3,2.3
2008-Q4,2.7
2009-Q1,3.2
2009-Q2,3.2
2009-Q3,3.3
2009-Q4,2.3
2010-Q1,2.2
2010-Q2,2.2
2010-Q3,2.1
2010-Q4,2.2
2011-Q1,1.9
2011-Q2,2.0
2011-Q3,2.1
2011-Q4,2.1
2012-Q1,2.1
2012-Q2,1.9
2012-Q3,1.9
2012-Q4,1.9
2013-Q1,1.9
2013-Q2,2.0
2013-Q3,1.8
2013-Q4,1.9
2014-Q1,2.1
2014-Q2,1.9
2014-Q3,1.9
2014-Q4,1.9
2015-Q1,1.8
2015-Q2,2.0
2015-Q3,1.9
2015-Q4,1.9
2016-Q1,1.9
2016-Q2,2.1
2016-Q3,2.1
2016-Q4,2.2
2017-Q1,2.3
2017-Q2,2.2
2017-Q3,2.1
2017-Q4,2.1
2018-Q1,2.1
2018-Q2,2.1
2018-Q3,2.1
2018-Q4,2.2
2019-Q1,2.2
2019-Q2,2.3
2019-Q3,2.2
2019-Q4,2.2
2020-Q1,2.5
2020-Q2,3.0
2020-Q3,3.4
2020-Q4,3.2
2021-Q1,2.9
2021-Q2,2.7
2021-Q3,2.6
2021-Q4,2.4
2022-Q1,2.3
2022-Q2,2.1
2022-Q3,2.1
2022-Q4,2.0
2023-Q1,1.8
2023-Q2,1.9
2023-Q3,2.0
2023-Q4,2.0
2024-Q1,2.1
2024-Q2,1.9
2024-Q3,1.9
2024-Q4,1.9
2025-Q1,2.0
2025-Q2,2.0
2025-Q3,2.0
